,SITE_ID,COUNTRY,LATITUDE,LONGITUDE,POINT_INFO,FARM_TYPE,COAST_DIST,POSITION_COASTLINE,STATUS,PRODUCTION_METHOD,PRODUCTS_DETAIL,PRODUCTION_STAGE,PURPOSE,OWNER_NAME
0,EL_0001,Greece,38.92027777800007,22.906388889000027,Original,n.a.,102.9617,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,MANTE BROS & CO S.A.
1,EL_0002,Greece,37.76444444400005,23.157777778000025,Original,n.a.,168.9446,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ABOTIS S.A.
2,EL_0004,Greece,37.554722222000066,23.372777778000057,Original,n.a.,167.8239,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,AGIA MAVRA LTD
3,EL_0005,Greece,37.706666667000036,23.169444444000078,Original,n.a.,61.8933,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,AGNOUNTA LTD
4,EL_0006,Greece,37.77583333300004,23.176666667000063,Original,n.a.,117.7948,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,AGROINVEST S.A.
5,EL_0007,Greece,37.82000000000005,23.253611111000055,Original,n.a.,118.9396,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,AGROINVEST S.A.
6,EL_0008,Greece,37.808333333000064,23.26305555600004,Original,n.a.,149.2238,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,AGROINVEST S.A.
7,EL_0009,Greece,37.38875000000007,23.061944444000062,Original,n.a.,307.3618,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,AGROINVEST S.A.
8,EL_0010,Greece,37.652222222000034,23.961111111000037,Original,n.a.,148.7213,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,AGROTIKOS-ALIEUTIKOS SYNETAIRISMOS PARAKTION ALIEON P. FALIROY-ALIMOY
9,EL_0011,Greece,39.95833333300004,23.98055555600007,Original,n.a.,167.3802,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ALIEIA S.A.
10,EL_0013,Greece,38.92611111100007,21.02777777800003,Original,n.a.,301.2808,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,AMVRAKIKOS FISH FARMING S.A.
11,EL_0014,Greece,38.94750000000005,20.922222222000073,Original,n.a.,86.6467,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,AMVRAKIKOS LTD.
12,EL_0015,Greece,38.966944444000035,20.840000000000032,Original,n.a.,457.7556,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ANDROMEDA S.A.
13,EL_0017,Greece,38.37916666700005,21.093055556000024,Original,n.a.,332.5192,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ANDROMEDA S.A.
14,EL_0018,Greece,38.940000000000055,20.858333333000076,Original,n.a.,110.6899,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ANDROMEDA S.A.
15,EL_0019,Greece,38.992500000000064,20.79416666700007,Original,n.a.,521.6762,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ANDROMEDA S.A.
16,EL_0020,Greece,38.41166666700008,21.080555556000036,Original,n.a.,345.8579,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ANDROMEDA S.A.
17,EL_0021,Greece,38.94055555600005,20.851666667000075,Original,n.a.,125.2084,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ANDROMEDA S.A.
18,EL_0022,Greece,38.93857394400004,20.858854250000036,Original,n.a.,25.9458,Within the coastline,n.a.,"Saltwater tanks/raceways, Saltwater closed (recirculation), Quarantine",Mediterranean marine fish,"Hatchery, Nursery, Broodstock",n.a.,ANDROMEDA S.A.
19,EL_0023,Greece,38.55527777800006,21.013888889000043,Original,n.a.,208.3421,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ANDROMEDA S.A.
20,EL_0024,Greece,39.66833333300008,20.08333333300004,Original,n.a.,191.6635,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ANDROMEDA S.A.
21,EL_0025,Greece,38.92038888900004,21.03444444400003,Original,n.a.,512.3215,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ANDROMEDA S.A.
22,EL_0026,Greece,38.39797222200008,21.097666667000055,Original,n.a.,202.7983,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ANDROMEDA S.A.
23,EL_0027,Greece,37.893667194000045,23.413007694000044,Original,n.a.,34.6603,Within the coastline,n.a.,Saltwater tanks/raceways,Mediterranean marine fish,"Hatchery, Nursery, Broodstock",n.a.,ARGOSARONIKOS FISHFARMS S.A.
24,EL_0028,Greece,37.89027777800004,23.410833333000028,Original,n.a.,252.3848,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ARGOSARONIKOS FISHFARMS S.A.
25,EL_0030,Greece,38.48611111100007,21.094166667000025,Original,n.a.,100.3933,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ASTAKOS AQUACULTURES PANAGIOTIS PARPOURAS
26,EL_0031,Greece,38.460277778000034,21.09694444400003,Original,n.a.,137.6636,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ASTAKOS FISH FARM I&K DELAPORTAS G.P.
27,EL_0032,Greece,38.45415000000003,21.071450000000027,Original,n.a.,45.7798,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ASTERAS S.A.
28,EL_0033,Greece,38.606111111000075,21.01949722200004,Original,n.a.,236.0347,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ASTERIAS S.A.
29,EL_0034,Greece,37.72305555600008,23.146666667000034,Original,n.a.,169.056,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ASTIR LTD
30,EL_0036,Greece,37.49611111100006,22.92805555600006,Original,n.a.,189.1443,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ATHANASIOS AND CHRISTOS MITSAKOS G.P.
31,EL_0038,Greece,37.964722222000034,23.99166666700006,Original,n.a.,1331.8254,Within the coastline,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ATHONIKI P.C.
32,EL_0040,Greece,37.80555555600006,23.175000000000068,Original,n.a.,54.1729,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,AVLAKI FISH FARM LTD
33,EL_0044,Greece,38.43194444400007,21.028611111000032,Original,Tuna,244.1382,At sea,n.a.,Sea cages,Northern bluefin tuna,Grow out for human consumption,n.a.,BLUEFIN TUNA HELLAS S.A.
34,EL_0045,Greece,39.793611111000075,19.90500000000003,Original,n.a.,128.7685,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,CORFU SEA FARM S.A.
35,EL_0047,Greece,38.90750000000003,22.986388889000068,Original,n.a.,164.0455,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,DEEP A' S.A. AQUACULTURES
36,EL_0048,Greece,39.493611111000064,20.23166666700007,Original,n.a.,92.7597,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,DELAVIAS APOSTOLOS & CO G.P.
37,EL_0051,Greece,38.371944444000064,21.091111111000032,Original,n.a.,214.3653,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,DIONI FISH
38,EL_0052,Greece,38.30972222200006,21.123883333000038,Original,n.a.,445.6668,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,DOTO AQUACULTURE S.A.
39,EL_0053,Greece,38.51861111100004,23.347777778000022,Original,n.a.,201.5723,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,E. TRIANTAFYLLOY & CO G.P.
40,EL_0054,Greece,38.489016667000044,21.03482500000007,Original,n.a.,165.2847,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ECHINADES AQUACULTURE S.A.
41,EL_0055,Greece,39.67777777800006,20.03444444400003,Original,n.a.,366.5922,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ENALIOS IONIOU S.A.
42,EL_0056,Greece,37.71527777800003,23.160000000000025,Original,n.a.,198.5032,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,EPIDAVROS AQUACULTURES S.A.
43,EL_0057,Greece,37.72750000000008,23.133333333000053,Original,n.a.,126.1644,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,EPIDAVROS AQUACULTURES S.A.
44,EL_0058,Greece,38.95611111100004,20.808055556000056,Original,n.a.,423.3372,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,EPIDAVROS AQUACULTURES S.A.
45,EL_0059,Greece,39.679722222000066,20.018333333000044,Original,n.a.,176.0772,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,EPIRUS PLAZA LTD.
46,EL_0060,Greece,38.40355555600007,20.601802778000035,Original,n.a.,179.7234,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,ER?SSOS FISH FARM LTD.
47,EL_0063,Greece,38.39055555600004,23.971666667000022,Original,n.a.,256.0462,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,EVIA FISH FARMS P.C.
48,EL_0064,Greece,37.32361111100005,22.81793611100005,Original,n.a.,110.2675,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,EVRIALOS - N. KIRITSIS & CO G.P.
49,EL_0065,Greece,38.66500000000008,23.08777777800003,Original,n.a.,6.1709,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,EYGENIA LIAPI
50,EL_0067,Greece,38.879861111000025,22.90055555600003,Original,n.a.,257.5149,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,FEIDO S.A.
51,EL_0072,Greece,39.52373333300005,20.160555556000077,Original,n.a.,173.8707,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,FISHFARM OF THESPROTIA S.A.
52,EL_0073,Greece,37.502500000000055,22.915833333000023,Original,n.a.,107.835,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,FISHFARMING ARGOLIDAS S.A.
53,EL_0074,Greece,38.948888889000045,20.857222222000075,Original,n.a.,166.3592,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,FISHFARMING VONITSA S.A.
54,EL_0075,Greece,37.560555556000054,23.361388889000068,Original,n.a.,106.42,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,FITTONIA S.A.
55,EL_0080,Greece,37.65791666700005,23.945555556000045,Original,n.a.,209.2346,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,FORTUNA AQUACULTURE S.A.
56,EL_0084,Greece,39.68972222200006,20.01527777800004,Original,n.a.,73.7306,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,G. MPOURAS & Co LTD
57,EL_0087,Greece,38.537222222000025,23.360555556000065,Original,n.a.,176.0794,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,G.&P. BITSAKOS AQUACULTURES S.A.
58,EL_0088,Greece,38.53305555600008,23.36916666700006,Original,n.a.,157.0103,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,G.&P. BITSAKOS AQUACULTURES S.A.
59,EL_0089,Greece,38.56027777800006,23.318611111000052,Original,n.a.,195.0221,At sea,n.a.,"Sea cages, Saltwater tanks/raceways",Mediterranean marine fish,"Grow out for human consumption, Hatchery, Nursery, Broodstock, ",n.a.,G.&P. BITSAKOS AQUACULTURES S.A.
60,EL_0091,Greece,38.34388888900003,22.27083333300004,Original,n.a.,228.3156,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,GALAXIDI MARINE FARM S.A.
61,EL_0092,Greece,38.32638888900004,22.67722222200007,Original,n.a.,676.914,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,GALAXIDI MARINE FARM S.A.
62,EL_0093,Greece,38.34111111100003,22.39138888900004,Original,n.a.,495.2561,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,GALAXIDI MARINE FARM S.A.
63,EL_0094,Greece,38.31539166700003,22.600833333000026,Original,n.a.,118.8096,Within the coastline,n.a.,Saltwater tanks/raceways,Mediterranean marine fish,"Hatchery, Nursery, Broodstock",n.a.,GALAXIDI MARINE FARM S.A.
64,EL_0095,Greece,38.351666667000075,22.388888889000043,Original,n.a.,175.8236,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,GALAXIDI MARINE FARM S.A.
65,EL_0096,Greece,38.35527777800007,22.381111111000052,Original,n.a.,103.0762,Within the coastline,n.a.,Saltwater tanks/raceways,Mediterranean marine fish,"Hatchery, Nursery, Broodstock",n.a.,GALAXIDI MARINE FARM S.A.
66,EL_0097,Greece,38.36194444400007,22.39388888900004,Original,n.a.,166.1314,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,GALAXIDI MARINE FARM S.A.
67,EL_0098,Greece,38.31222222200006,22.604722222000078,Original,n.a.,272.3705,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,GALAXIDI MARINE FARM S.A.
68,EL_0100,Greece,37.713611111000034,23.175277778000066,Original,n.a.,98.0619,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,"GEORGE PAPARGYRIS, AQUACULTURES OF EPIDAVROS S.A."
69,EL_0101,Greece,37.71833333300003,23.17611111100007,Original,n.a.,75.478,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,GEORGIOS KAPERONIS
70,EL_0103,Greece,38.11333333300007,22.980000000000075,Original,n.a.,133.7634,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,GLARONHSI FISHFARM LTD.
71,EL_0105,Greece,39.67777777800006,20.02638888900003,Original,n.a.,176.3809,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,GRAMMOS S.A.
72,EL_0109,Greece,39.663400000000024,20.074600000000032,Original,n.a.,721.4866,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,HELLENIC FISHFARMING S.A.
